level1,level2,level3,paper_count
Econometrics,Statistical & Bayesian Methods,Markov Chains and Monte Carlo Methods,1
Econometrics,Statistical & Bayesian Methods,Fuzzy Systems and Optimization,1
Econometrics,Statistical & Bayesian Methods,Evaluation and Performance Assessment,1
Macro,Monetary Policy & Central Banking,European Monetary and Fiscal Policies,1
Econometrics,Statistical & Bayesian Methods,Bayesian Methods and Mixture Models,1
Micro,Behavioral & Experimental Economics,Risk Perception and Management,1
Econometrics,Statistical & Bayesian Methods,Advanced Statistical Process Monitoring,1
Econometrics,Machine Learning in Economics,Stochastic Gradient Optimization Techniques,1
Econometrics,Machine Learning in Economics,Scheduling and Optimization Algorithms,1
Econometrics,Machine Learning in Economics,Neural Networks and Reservoir Computing,1
Econometrics,Machine Learning in Economics,Neural Networks and Applications,1
Econometrics,Machine Learning in Economics,Mobile Crowdsensing and Crowdsourcing,1
Econometrics,Machine Learning in Economics,Information Retrieval and Search Behavior,1
Econometrics,Machine Learning in Economics,Advanced Optimization Algorithms Research,1
Micro,Behavioral & Experimental Economics,Gambling Behavior and Treatments,1
Applied,Urban & Regional Economics,Urbanization and City Planning,1
Applied,Corporate & Household Finance,"Auditing, Earnings Management, Governance",1
Applied,Other / Interdisciplinary,Ethics and Social Impacts of AI,1
Applied,Political Economy & Governance,"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",1
Applied,Environmental & Energy Economics,Climate Change Communication and Perception,1
Applied,Environmental & Energy Economics,"Energy, Environment, Economic Growth",1
Applied,Environmental & Energy Economics,Flood Risk Assessment and Management,1
Applied,Environmental & Energy Economics,Natural Resources and Economic Development,1
Applied,Environmental & Energy Economics,Pesticide and Herbicide Environmental Studies,1
Applied,Environmental & Energy Economics,Rangeland Management and Livestock Ecology,1
Applied,Health Economics,Assisted Reproductive Technology and Twin Pregnancy,1
Applied,Health Economics,Behavioral Health and Interventions,1
Applied,Health Economics,Child and Adolescent Health,1
Applied,Health Economics,Community Health and Development,1
Applied,Health Economics,Diversity and Career in Medicine,1
Applied,Health Economics,Geriatric Care and Nursing Homes,1
Applied,Health Economics,Global Cancer Incidence and Screening,1
Applied,Health Economics,"Health, Environment, Cognitive Aging",1
Applied,Health Economics,Mental Health and Psychiatry,1
Applied,Health Economics,Prenatal Screening and Diagnostics,1
Applied,Health Economics,Vaccine Coverage and Hesitancy,1
Applied,Labor Economics,AI and HR Technologies,1
Applied,Labor Economics,Digital Economy and Work Transformation,1
Applied,Labor Economics,Family Dynamics and Relationships,1
Applied,Environmental & Energy Economics,Coastal and Marine Management,1
Applied,Education Economics,Technology and Education Systems,1
Applied,Political Economy & Governance,Political Philosophy and Ethics,1
Applied,Education Economics,"Politics, Economics, and Education Policy",1
Applied,Corporate & Household Finance,"FinTech, Crowdfunding, Digital Finance",1
Applied,Corporate & Household Finance,Financial Reporting and Valuation Research,1
Applied,Corporate & Household Finance,"Insurance, Mortality, Demography, Risk Management",1
Applied,Corporate & Household Finance,Stochastic processes and financial applications,1
Applied,Development Economics,Asian Industrial and Economic Development,1
Applied,Development Economics,Food Security and Health in Diverse Populations,1
Applied,Development Economics,Global Socioeconomic and Political Dynamics,1
Applied,Development Economics,ICT Impact and Policies,1
Applied,Development Economics,Indian Economic and Social Development,1
Applied,Development Economics,Innovation and Socioeconomic Development,1
Applied,Development Economics,International Development and Aid,1
Applied,Development Economics,"Religion, Society, and Development",1
Applied,Development Economics,Socioeconomic Development in MENA,1
Applied,Economic History,Vietnamese History and Culture Studies,1
Applied,Education Economics,Child Development and Digital Technology,1
Applied,Education Economics,Education Discipline and Inequality,1
Applied,Education Economics,Education Methods and Practices,1
Applied,Education Economics,Educational Leadership and Practices,1
Applied,Education Economics,Online Learning and Analytics,1
Applied,Labor Economics,Gender Roles and Identity Studies,1
Applied,Labor Economics,Human Resource and Talent Management,1
Applied,Labor Economics,Job Satisfaction and Organizational Behavior,1
Applied,Labor Economics,Occupational and Professional Licensing Regulation,1
Applied,Other / Interdisciplinary,Psychosocial Factors Impacting Youth,1
Applied,Other / Interdisciplinary,Religion and Society Interactions,1
Applied,Other / Interdisciplinary,Seed and Plant Biochemistry,1
Applied,Other / Interdisciplinary,Social Capital and Networks,1
Applied,Other / Interdisciplinary,Social Power and Status Dynamics,1
Applied,Other / Interdisciplinary,Social and Cultural Dynamics,1
Applied,Other / Interdisciplinary,South Asian Cinema and Culture,1
Applied,Other / Interdisciplinary,Space Science and Extraterrestrial Life,1
Applied,Other / Interdisciplinary,Sports Analytics and Performance,1
Applied,Other / Interdisciplinary,Youth Development and Social Support,1
Applied,Other / Interdisciplinary,scientometrics and bibliometrics research,1
Applied,Political Economy & Governance,Academic Freedom and Politics,1
Applied,Political Economy & Governance,Dispute Resolution and Class Actions,1
Applied,Political Economy & Governance,"Gender, Security, and Conflict",1
Applied,Political Economy & Governance,Gun Ownership and Violence Research,1
Applied,Political Economy & Governance,International Science and Diplomacy,1
Applied,Political Economy & Governance,Judicial and Constitutional Studies,1
Applied,Political Economy & Governance,Legal Education and Practice Innovations,1
Applied,Political Economy & Governance,Misinformation and Its Impacts,1
Applied,Other / Interdisciplinary,Psychology of Moral and Emotional Judgment,1
Applied,Other / Interdisciplinary,Psychological and Educational Research Studies,1
Applied,Other / Interdisciplinary,"Optimism, Hope, and Well-being",1
Applied,Other / Interdisciplinary,Child and Adolescent Psychosocial and Emotional Development,1
Applied,Labor Economics,Organizational Strategy and Culture,1
Applied,Labor Economics,Sleep and Work-Related Fatigue,1
Applied,Labor Economics,Work-Family Balance Challenges,1
Applied,Other / Interdisciplinary,Academic and Historical Perspectives in Psychology,1
Applied,Other / Interdisciplinary,Academic integrity and plagiarism,1
Applied,Other / Interdisciplinary,Animal Ecology and Behavior Studies,1
Applied,Other / Interdisciplinary,Child Abuse and Trauma,1
Applied,Other / Interdisciplinary,Child Welfare and Adoption,1
Applied,Other / Interdisciplinary,Communication in Education and Healthcare,1
Applied,Other / Interdisciplinary,Older Adults Driving Studies,1
Applied,Other / Interdisciplinary,Contemporary Sociological Theory and Practice,1
Applied,Other / Interdisciplinary,Cultural Differences and Values,1
Applied,Other / Interdisciplinary,Deception detection and forensic psychology,1
Applied,Other / Interdisciplinary,Face and Expression Recognition,1
Applied,Other / Interdisciplinary,"Genetics, Bioinformatics, and Biomedical Research",1
Applied,Other / Interdisciplinary,"Grit, Self-Efficacy, and Motivation",1
Applied,Other / Interdisciplinary,Homelessness and Social Issues,1
Applied,Other / Interdisciplinary,Impact of Technology on Adolescents,1
Micro,Industrial Organization & Competition,Technology Adoption and User Behaviour,1
